,Date,Total user accounts,New Users past 24 hours,New users this week,Active users this week,Claims/TOT ACC,Total Claims,Claims past 24 hours,

,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,1 Dec 2019 , 31124, 155, 843, 1360, 925734, 7841,
,20 Nov 2019, 29936, 103, 857, 1365, 840413, 6869,
,26 Nov 2019, 30516, 111, 683, 1184, 885552, 7412,
,1 Dec 2019 , 31124, 155, 843, 1360, 925734, 7841,
